key,value
"ext_total","[-1.3167 -1.3167 -1.3167 -1.3167 -1.3167 -1.3167 -1.3167 -1.68245 -1.68245 15.65315 34.89065 54.12815 72.2684 91.5059 110.7434 132.83375 152.07125 171.30875 190.54625 209.792734131 229.032201778 248.272100367 266.049524279 285.290588569 304.532433486 350.91198 211.290052578 270.160065607 247.9475 286.4225 434.6225 473.0975 511.5725 550.0475 588.5225 -441.8 -343.483082092 -244.673961131 -145.258867131 -45.0977328092 494.881884887 597.092288257 700.694852094 806.011366512 913.438001611 -312.475 -223.297108633 -132.090433992 -38.5183717156 57.81153007 157.356836655 260.651030002 1099.81610441 1212.577252 1331.2799847 1399.19759704 1475.19194106 1560.60306288 1656.99334154 1766.18437726 2275.2875 2403.69010082 2543.06552849 2694.75267039 2860.25378284 3022.0169252 3201.17082613 3399.83747912 3620.39780002 3865.52322034 4503.96113554 4807.57467865 5145.88734698 5523.13307415 5944.06241183 6414.00556665 6938.94312882 7525.58543091 8181.46158992 8915.01941405 8072.525 9010.27600821 10057.7552849 11228.3517039 12537.0878284 14000.819252 15638.4582613 17471.2247912 19522.9280002 21820.2822034 24393.2613554 27275.4967865 30504.7234698 34123.2807415 38178.6741183 42724.2056665 47819.6812882 53532.2043091 59937.0658992 67118.7441405 75133.55]"
"externality_reo_per_t",73700
"frac",0.95
"h2_per_gw_yr",150000
"i",101
"idx",91
"idx90",91
"insitu_cost_per_kg",100
"ir_fraction_of_pgm",0.15
"ir_scale_factor",7
"launch_cost","[6000 6000 6000 6000 6000 6000 6000 6000 6000 6000 6000 6000 6000 6000 6000 6000 6000 6000 6000 6000 6000 6000 6000 6000 6000 4000 4000 4000 4000 4000 4000 4000 4000 4000 4000 4000 4000 4000 4000 4000 4000 4000 4000 4000 4000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000 2000]"
