family,winner_file,winner_rev,winner_batch_date,n_files,superseded_revs,status
sel-probe-mkii-001,SEL-PROBE-MkII-001_RevA.docx,Rev A,2026-04-12,1,,AUTHORITATIVE
sel-probe-mkiii-001,SEL-PROBE-MkIII-001_RevA.docx,Rev A,2026-04-12,1,,AUTHORITATIVE
sel-proc-001,SEL-PROC-001_RevB.docx,Rev B,2026-04-12,3,Rev A,AUTHORITATIVE
sel-proc-pkt-001,SEL-PROC-PKT-001_RevB.docx,Rev B,2026-04-12,4,Rev A,AUTHORITATIVE
sel-reagent-001,SEL-REAGENT-001_RevA.docx,Rev A,2026-04-12,1,,AUTHORITATIVE
sel-sw-molei-001,SEL-SW-MOLEI-001_RevD.docx,Rev D,2026-03-10,3,Rev A Rev B,AUTHORITATIVE
sel-sw-sentinel-001,SEL-SW-SENTINEL-001_RevB.docx,Rev B,2026-04-12,2,Rev A,AUTHORITATIVE
sel-sw-sentinel-001_ecn,updated_SEL-SW-SENTINEL-001_ECN014.docx,ECN-014+,2026-03-11,2,ECN-014,AMENDMENT
sel-sw-sub-001,SEL-SW-SUB-001_RevC.docx,Rev C,2026-03-10,2,Rev A,AUTHORITATIVE
sel-t1_1-strategy,SEL-T1_1-STRATEGY-v3_1.md,v3.1,2026-04-12,12,v2.1 v2.3 v2.4 v2.5 v2.6 v2.6+ v3.0,AUTHORITATIVE
sel_arm_design,SEL_ARM_DESIGN_RevA_updated.docx,Rev A+,2026-04-12,2,Rev A,AUTHORITATIVE
sel_dart_design,SEL_DART_DESIGN_RevA_updated.docx,Rev A+,2026-04-12,2,Rev A,AUTHORITATIVE
sel_eva_contingency,SEL_EVA_CONTINGENCY_CORRECTED.docx,-+,2026-03-15,1,,AUTHORITATIVE
sel_final_report,SEL_FINAL_REPORT_v4.docx,v4,2026-03-09,1,,AUTHORITATIVE
sel_harvest_design,SEL_HARVEST_DESIGN_RevA_updated.docx,Rev A+,2026-04-12,2,Rev A,AUTHORITATIVE
sel_molei_design,SEL_MOLEI_DESIGN_v5.docx,v5,2026-04-12,5,v1 v3,AUTHORITATIVE
sel_moles_design,SEL_MOLES_DESIGN_RevA_updated.docx,Rev A+,2026-04-12,2,Rev A,AUTHORITATIVE
sel_probe_design,SEL_PROBE_DESIGN_RevB.docx,Rev B,2026-04-12,4,Rev A Rev A+,AUTHORITATIVE
sel_robot_fleet,SEL_ROBOT_FLEET_v9-1.docx,v9.1,2026-04-05,15,v2.1 v2.2 v2.6 v2.7 v3.1 v3.2 v4 v5 v6 v8 v9,AUTHORITATIVE
sel_robot_fleet_ecn,SEL_ROBOT_FLEET_ECN019.docx,ECN-019,2026-04-05,2,ECN-016,AMENDMENT
sel_sentinel_design,SEL_SENTINEL_DESIGN_RevB.docx,Rev B,2026-04-12,4,Rev A Rev A+,AUTHORITATIVE
sel_sinter_design,SEL_SINTER_DESIGN_RevA_updated.docx,Rev A+,2026-04-12,3,Rev A,AUTHORITATIVE
sel_skip_design,SEL_SKIP_DESIGN_RevA_updated.docx,Rev A+,2026-04-12,2,Rev A,AUTHORITATIVE
sel_substation_design,SEL_SUBSTATION_DESIGN_v4.docx,v4,2026-03-10,3,v1 v2,AUTHORITATIVE
sel_substation_solidworks_guide,SEL_SUBSTATION_SOLIDWORKS_GUIDE.md,-,2026-03-10,1,,AUTHORITATIVE
sel_survey_design,SEL_SURVEY_DESIGN_RevA_updated.docx,Rev A+,2026-04-12,2,Rev A,AUTHORITATIVE
sel_techref,SEL_TECHREF_v1.docx,v1,2026-03-01,1,,REFERENCE
sel_verification_audit,SEL_Verification_Audit_v1.docx,v1,2026-03-01,1,,REFERENCE
selenite_8x8x8,selenite_8x8x8_v4.html,v4,2026-03-15,2,,AUTHORITATIVE
selenite_audit_resolve,SELENITE_AUDIT_RESOLVE.m,-,2026-03-11,1,,AUTHORITATIVE
selenite_autonomous_ops_framework,selenite_autonomous_ops_framework.html,-,2026-03-23,1,,AUTHORITATIVE
selenite_base_floor_plan,Selenite_Base_Floor_Plan_v2_1.pdf,v2.1,2026-04-20,1,,AUTHORITATIVE
selenite_brief04_automation,selenite_brief04_automation.html,-,2026-02-22,1,,OUT_OF_SCOPE
selenite_briefing_scene,selenite_briefing_scene_v2.md,v2,2026-04-05,1,,EXCLUDED
selenite_cross_doc_audit,SELENITE_CROSS_DOC_AUDIT.docx,-,2026-03-11,1,,REFERENCE
selenite_decision_framework,SELENITE_DECISION_FRAMEWORK_v4.md,v4,2026-04-12,4,v2 v3,AUTHORITATIVE
selenite_deliverables,selenite_deliverables.txt,-,2026-02-22,1,,OUT_OF_SCOPE
selenite_delivery_plan,selenite_delivery_plan.html,-,2026-03-01,1,,OUT_OF_SCOPE
selenite_design_briefs,selenite_design_briefs.html,-,2026-02-22,1,,OUT_OF_SCOPE
