key,value
"pwr_matrix","[155.4 56462 451022.6 3393936 22506685.6 225065250.2 248.805682774 91362.7092851 730347.268754 5496381.41542 36448974.1941 364487891.35 270.76 94456.56 755052.94 5682304.74 37681881.94 376816827.38 74 74 74 74 74 74 900 900 900 900 900 900 65 67.5 70 72.5 75 77.5 54 54 54 54 54 54]"
"raw_mi",194838062
"shackleton_yr",11475580
"skip.mass_dry",300
"skip.mass_payload",400
"skip.mf",700
"skip.rng_spa",100
"skip.rng_pkt",35
"skip.v0_spa",284.604989415
"skip.v0_pkt",168.374582405
"skip.dv_spa",1195.34095554
"skip.dv_pkt",707.1732461
"skip.fuel_spa",217.687027465
"skip.fuel_pkt",121.616398514
"skip.hops_per_yr",274
"solar.yield",0.319
"starship.cap_t",100
"status","OK"
"tanker.payload",6000
"tanker.prop_own",6654
"tanker.total",12654
"tanker.trips_per_yr",12
"tanker_eff",0.474158368895
"ve",4414.5
"water_kghr",217244438.553
