key,value,source,comparable
ph.pwr_spa,[2142.43399241 243422.968377 1932686.8951 2615.68913348 3683.48729482 12636.0517514],matlab_r2025a;octave_agrees,yes
ph.raw_kreep,[8928.57142857 390625 3125000 31250000 312500000 3125000000],matlab_r2025a;octave_agrees,yes
ph.reo_target,[0.4 125 1000 10000 100000 1000000],matlab_r2025a;octave_agrees,yes
ph.solar_m2,[6716.09402011 763081.40557 6058579.60847 8199.65245606 11546.9821154 39611.4474967],matlab_r2025a;octave_agrees,yes
ph.ss_crew,[2 2 2 2 2 2],matlab_r2025a;octave_agrees,yes
ph.ss_total,[5 157 1237 12252 122502 1225002],matlab_r2025a;octave_agrees,yes
probe.payload_current,1500,matlab_r2025a;octave_agrees,yes
probe.pgm_extraction,0.7,matlab_r2025a;octave_agrees,yes
probe.pgm_grade,5e-05,matlab_r2025a;octave_agrees,yes
probe.prop,6654,matlab_r2025a;octave_agrees,yes
probe_big.insitu_conc,50,matlab_r2025a;octave_agrees,yes
probe_big.payload,10000,matlab_r2025a;octave_agrees,yes
probe_big.prop,40000,matlab_r2025a;octave_agrees,yes
proc.circuit_cap,50,matlab_r2025a;octave_agrees,yes
proc.eff,0.8,matlab_r2025a;octave_agrees,yes
proc.pwr_kW,180,matlab_r2025a;octave_agrees,yes
proc.reagent,49,matlab_r2025a;octave_agrees,yes
raw_mi,2263,matlab_r2025a;octave_agrees,yes
shack.floor_km2,33.2,matlab_r2025a;octave_agrees,yes
shack.ice_total,22951160000,matlab_r2025a;octave_agrees,yes
shack.ice_yr,459023200,matlab_r2025a;octave_agrees,yes
skip.dv_pkt,707.1732461,matlab_r2025a;octave_agrees,yes
skip.dv_spa,1195.34095554,matlab_r2025a;octave_agrees,yes
skip.fuel_pkt,121.616398514,matlab_r2025a;octave_agrees,yes
skip.fuel_spa,217.687027465,matlab_r2025a;octave_agrees,yes
skip.hops,274,matlab_r2025a;octave_agrees,yes
skip.mf,700,matlab_r2025a;octave_agrees,yes
skip.payload,400,matlab_r2025a;octave_agrees,yes
skip.rng_pkt,35,matlab_r2025a;octave_agrees,yes
skip.rng_spa,100,matlab_r2025a;octave_agrees,yes
solar.yield,0.319,matlab_r2025a;octave_agrees,yes
ss.cap_t,100,matlab_r2025a;octave_agrees,yes
ss.return_prop,80000,matlab_r2025a;octave_agrees,yes
st,OK,matlab_r2025a;octave_agrees,yes
tanker.payload,6000,matlab_r2025a;octave_agrees,yes
tanker.prop,6654,matlab_r2025a;octave_agrees,yes
tanker.total,12654,matlab_r2025a;octave_agrees,yes
tanker.trips_yr,12,matlab_r2025a;octave_agrees,yes
tier.frac_t1,[0.95 0.9 0.85 0.7 0.4 0.15],matlab_r2025a;octave_agrees,yes
tier.frac_t2,[0.05 0.08 0.12 0.25 0.35 0.3],matlab_r2025a;octave_agrees,yes
ve,4414.5,matlab_r2025a;octave_agrees,yes
water_kghr,1821.61378383,matlab_r2025a;octave_agrees,yes
